winglen spp sex region
23.6 F.flappa male South
23.3 F.flappa male South
18.2 F.flappa male South
22.6 F.flappa male South
29.3 F.flappa male South
22.2 F.flappa male South
24.5 F.flappa male South
26.3 F.flappa male South
20.6 F.flappa male South
23.9 F.flappa male South
26.5 F.flappa female South
24.7 F.flappa female South
28.3 F.flappa female South
22.3 F.flappa female South
21.8 F.flappa female South
30 F.flappa female South
21.5 F.flappa female South
20.1 F.flappa female South
24.3 F.flappa female South
27.2 F.flappa female South
28.6 F.concocti male South
17.2 F.concocti male South
20.4 F.concocti male South
21.9 F.concocti male South
26.3 F.concocti male South
27.8 F.concocti male South
18.8 F.concocti male South
28.1 F.concocti male South
29.1 F.concocti male South
31.5 F.concocti male South
35.2 F.concocti female South
32 F.concocti female South
26 F.concocti female South
32.5 F.concocti female South
37.8 F.concocti female South
37.2 F.concocti female South
30.1 F.concocti female South
27.4 F.concocti female South
28.2 F.concocti female South
27.3 F.concocti female South
24.5464038383465 F.concocti male North
24.0330464020722 F.concocti male North
16.3948892617992 F.concocti male North
20.4541436906347 F.concocti male North
29.0739046824218 F.concocti male North
27.5060943409598 F.concocti male North
27.095282799887 F.concocti male North
25.0329774893708 F.concocti male North
19.6497268859749 F.concocti male North
18.501178458112 F.concocti male North
32.3908128013489 F.concocti female North
21.5492550581772 F.concocti female North
32.1291770156232 F.concocti female North
23.5803214122342 F.concocti female North
21.0270447347836 F.concocti female North
27.5133408554171 F.concocti female North
21.8532920083481 F.concocti female North
24.6548699765324 F.concocti female North
24.7764981096094 F.concocti female North
29.8844473401417 F.concocti female North
30.871813149071 F.flappa male North
15.1133210470669 F.flappa male North
20.8101406836498 F.flappa male North
20.9337045336892 F.flappa male North
23.9621593141036 F.flappa male North
28.4539414353627 F.flappa male North
19.0446882559946 F.flappa male North
24.8422704021651 F.flappa male North
31.5468313900718 F.flappa male North
29.0797288264123 F.flappa male North
39.4821610196506 F.flappa female North
31.2667418839068 F.flappa female North
26.2056178106037 F.flappa female North
34.355702141512 F.flappa female North
38.6663810976152 F.flappa female North
37.8762469279823 F.flappa female North
30.5164768665832 F.flappa female North
30.6949378841318 F.flappa female North
31.6086872128943 F.flappa female North
31.1659759283644 F.flappa female North
